Week,Season,Air Travel,Hotel and Acc,Rail Travel,Shopping,Covid 19,Travel Guides & Travelogues,Car Rental & Taxi Services,Tourist Destinations,Image Search,W1,W2,W3,Weekwise Tourists
03-01-2010,1,28,0,0,26,0,31,77,21,24,-0.90775,0.529753,0.258209,25286.71
10-01-2010,1,0,0,0,0,0,65,0,0,0,-0.50422,0.462215,0.100223,25286.71
17-01-2010,1,0,26,0,97,0,30,0,0,0,-0.46471,-0.39582,0.631128,25286.71
24-01-2010,1,0,0,44,24,0,36,0,0,25,-0.90775,0.529753,0.258209,25286.71
31-01-2010,1,0,100,0,0,0,79,0,30,33,-0.41561,0.431946,0.639136,32765.53
07-02-2010,1,29,0,0,0,0,47,0,39,45,1.04546,0.267741,0.288712,34012
14-02-2010,1,0,0,0,0,0,0,32,45,0,0.585061,0.590708,0.501644,34012
21-02-2010,1,46,0,42,0,0,51,0,29,64,-0.41561,0.431946,0.639136,34012
28-02-2010,1,0,0,0,0,0,0,58,40,0,0.044792,0.108978,0.426204,44363.82
07-03-2010,1,0,0,0,0,0,0,0,76,100,-0.41561,0.431946,0.639136,46089.13
14-03-2010,1,0,0,0,0,0,0,0,26,0,-0.90775,0.529753,0.258209,46089.13
21-03-2010,1,14,0,0,0,0,30,0,17,0,-0.46471,-0.39582,0.631128,46089.13
28-03-2010,1,0,0,0,0,0,0,0,61,57,0.004307,0.718785,-0.4182,61013.85
04-04-2010,2,0,0,38,0,0,65,0,64,48,-0.41561,0.431946,0.639136,80913.47
11-04-2010,2,0,0,0,0,0,100,0,61,84,-0.46471,-0.39582,0.631128,80913.47
18-04-2010,2,18,45,51,14,0,31,0,70,0,-0.41561,0.431946,0.639136,80913.47
25-04-2010,2,28,0,0,29,0,50,0,57,98,-0.46471,-0.39582,0.631128,79475.98
02-05-2010,2,26,38,0,100,0,37,0,100,52,-0.41561,0.431946,0.639136,70851.06
09-05-2010,2,0,0,0,0,0,0,0,88,53,-0.41561,0.431946,0.639136,70851.06
16-05-2010,2,0,0,0,0,0,56,100,72,54,0.585061,0.590708,0.501644,70851.06
23-05-2010,2,0,0,0,0,0,47,0,59,29,0.415607,-0.43195,-0.63914,70851.06
30-05-2010,2,0,0,38,0,0,34,0,74,47,0.415607,-0.43195,-0.63914,84024.66
06-06-2010,2,88,0,0,0,0,0,0,0,78,0.415607,-0.43195,-0.63914,89294.1
13-06-2010,2,66,0,51,0,0,68,0,48,76,0.415607,-0.43195,-0.63914,89294.1
20-06-2010,2,26,25,100,0,0,37,0,11,47,0.044792,0.108978,0.426204,89294.1
27-06-2010,2,0,0,0,0,0,53,0,12,100,-0.41561,0.431946,0.639136,68593.68
04-07-2010,3,0,0,0,0,0,32,31,41,71,-0.41561,0.431946,0.639136,40993.13
11-07-2010,3,17,43,0,0,0,57,0,0,58,-0.90775,0.529753,0.258209,40993.13
18-07-2010,3,0,0,80,0,0,27,26,14,44,-0.41561,0.431946,0.639136,40993.13
25-07-2010,3,16,0,67,28,0,22,0,0,50,-0.41561,0.431946,0.639136,40993.13
01-08-2010,3,20,41,0,12,0,0,0,42,40,-0.41561,0.431946,0.639136,40538.58
08-08-2010,3,0,29,71,0,0,0,0,19,23,-0.41561,0.431946,0.639136,40538.58
15-08-2010,3,0,0,0,0,0,0,0,18,0,-0.50422,0.462215,0.100223,40538.58
22-08-2010,3,0,0,0,19,0,0,68,0,0,-0.44735,0.206785,0.045278,40538.58
29-08-2010,3,22,0,0,16,0,21,0,27,55,-0.55332,-0.36555,0.092215,42998.21
05-09-2010,3,0,18,0,0,0,40,46,48,28,0.585061,0.590708,0.501644,44842.93
12-09-2010,3,0,0,0,0,0,33,0,18,0,-0.41561,0.431946,0.639136,44842.93
19-09-2010,3,0,0,0,0,0,0,0,0,49,-0.50422,0.462215,0.100223,44842.93
26-09-2010,3,15,0,0,0,0,37,0,0,50,-0.41561,0.431946,0.639136,48898.41
03-10-2010,4,26,19,36,0,0,43,30,14,0,0.585061,0.590708,0.501644,59037.1
10-10-2010,4,0,0,0,16,0,26,0,0,59,0.447348,-0.20679,-0.04528,59037.1
17-10-2010,4,0,0,0,69,0,45,61,14,0,0.585061,0.590708,0.501644,59037.1
24-10-2010,4,28,0,0,23,0,53,0,30,67,-0.90775,0.529753,0.258209,59037.1
31-10-2010,4,0,0,0,0,0,55,82,22,0,0.585061,0.590708,0.501644,32446.87
07-11-2010,4,0,0,0,0,0,24,0,15,19,-0.50422,0.462215,0.100223,28015.17
14-11-2010,4,17,0,0,0,0,0,0,19,0,-0.46471,-0.39582,0.631128,28015.17
21-11-2010,4,24,0,0,13,0,0,0,34,29,-0.46471,-0.39582,0.631128,28015.17
28-11-2010,4,0,48,0,0,0,57,0,16,0,-0.50422,0.462215,0.100223,24852.69
05-12-2010,4,19,0,0,33,0,0,0,16,35,-0.50422,0.462215,0.100223,22480.84
12-12-2010,4,100,59,78,41,0,30,0,20,0,0.585061,0.590708,0.501644,22480.84
19-12-2010,4,0,0,0,0,0,64,0,0,19,0.535963,-0.23706,0.493636,22480.84
26-12-2010,4,37,0,0,0,0,0,0,15,33,0.415607,-0.43195,-0.63914,23284.81
02-01-2011,1,0,0,0,55,0,80,26,42,27,-0.46471,-0.39582,0.631128,28108.61
09-01-2011,1,0,0,68,0,0,62,0,43,40,-0.41561,0.431946,0.639136,28108.61
16-01-2011,1,0,0,0,0,0,29,0,47,44,-0.41561,0.431946,0.639136,28108.61
23-01-2011,1,0,33,72,0,0,40,0,84,49,-0.46471,-0.39582,0.631128,28108.61
30-01-2011,1,30,0,94,0,0,83,0,44,44,-0.50422,0.462215,0.100223,35512.64
06-02-2011,1,44,0,0,0,0,23,0,56,67,-0.90775,0.529753,0.258209,38474.25
13-02-2011,1,57,0,0,0,0,16,45,44,47,0.996361,-0.56002,0.280704,38474.25
20-02-2011,1,0,0,89,0,0,14,0,64,33,-0.41561,0.431946,0.639136,38474.25
27-02-2011,1,72,0,0,0,0,62,100,39,25,-0.46471,-0.39582,0.631128,51046.03
06-03-2011,1,0,49,0,42,0,19,0,51,25,-0.41561,0.431946,0.639136,56074.74
13-03-2011,1,0,0,39,0,0,39,0,58,54,-0.41561,0.431946,0.639136,56074.74
20-03-2011,1,0,42,0,0,0,20,0,55,12,0.044792,0.108978,0.426204,56074.74
27-03-2011,1,0,0,0,77,0,52,0,46,34,-0.41561,0.431946,0.639136,66305.52
03-04-2011,2,100,37,0,0,0,0,0,90,18,0.044792,0.108978,0.426204,91882.47
10-04-2011,2,31,0,0,0,0,31,0,68,44,-0.99636,0.560022,-0.2807,91882.47
17-04-2011,2,36,0,44,0,0,70,0,56,48,0.004307,0.718785,-0.4182,91882.47
24-04-2011,2,25,0,0,0,0,52,42,70,52,-0.41561,0.431946,0.639136,91882.47
01-05-2011,2,0,59,0,0,0,76,0,59,79,-0.41561,0.431946,0.639136,81208.58
08-05-2011,2,40,0,0,0,0,38,29,88,76,0.044792,0.108978,0.426204,81208.58
15-05-2011,2,34,0,0,63,0,60,0,91,99,-0.90775,0.529753,0.258209,81208.58
22-05-2011,2,28,33,0,0,0,66,0,68,51,0.415607,-0.43195,-0.63914,81208.58
29-05-2011,2,46,0,0,0,0,100,0,100,58,0.415607,-0.43195,-0.63914,88697.28
05-06-2011,2,22,0,0,38,0,70,0,56,100,0.415607,-0.43195,-0.63914,94313.8
12-06-2011,2,0,38,0,0,0,63,0,78,52,0.415607,-0.43195,-0.63914,94313.8
19-06-2011,2,53,29,0,0,0,53,0,64,34,-0.90775,0.529753,0.258209,94313.8
26-06-2011,2,74,0,57,0,0,88,0,51,32,-0.41561,0.431946,0.639136,79947.9
03-07-2011,3,61,0,0,0,0,34,0,39,49,-0.41561,0.431946,0.639136,44033.16
10-07-2011,3,21,0,0,0,0,12,0,50,58,0.585061,0.590708,0.501644,44033.16
17-07-2011,3,70,0,0,0,0,66,0,53,24,-0.41561,0.431946,0.639136,44033.16
24-07-2011,3,24,29,0,0,0,59,0,42,59,-0.41561,0.431946,0.639136,44033.16
31-07-2011,3,42,0,0,0,0,48,19,48,48,-0.41561,0.431946,0.639136,44182
07-08-2011,3,0,30,0,0,0,62,0,45,46,-0.41561,0.431946,0.639136,44206.81
14-08-2011,3,0,0,0,0,0,67,0,42,57,1.04546,0.267741,0.288712,44206.81
21-08-2011,3,18,56,0,22,0,39,0,41,40,1.04546,0.267741,0.288712,44206.81
28-08-2011,3,0,44,0,100,0,0,18,42,53,-0.55332,-0.36555,0.092215,46763.93
04-09-2011,3,0,0,0,0,0,32,0,39,45,0.585061,0.590708,0.501644,50173.43
11-09-2011,3,0,0,0,0,0,47,0,31,35,-0.41561,0.431946,0.639136,50173.43
18-09-2011,3,0,0,0,0,0,72,0,76,56,0.585061,0.590708,0.501644,50173.43
25-09-2011,3,0,0,0,0,0,95,0,44,32,-0.46471,-0.39582,0.631128,52281.57
02-10-2011,4,0,0,0,32,0,79,0,46,54,-0.53596,0.237055,-0.49364,64930.42
09-10-2011,4,0,55,0,0,0,65,0,63,30,-0.90775,0.529753,0.258209,64930.42
16-10-2011,4,79,39,0,0,0,51,0,60,37,-0.41561,0.431946,0.639136,64930.42
23-10-2011,4,28,0,0,0,0,55,0,38,20,0.447348,-0.20679,-0.04528,64930.42
30-10-2011,4,0,100,77,0,0,22,25,67,33,-0.44735,0.206785,0.045278,36955.38
06-11-2011,4,86,49,0,0,0,45,0,60,37,-0.04382,0.139248,-0.11271,25765.37
13-11-2011,4,39,0,0,33,0,48,0,42,38,-0.41561,0.431946,0.639136,25765.37
20-11-2011,4,0,0,0,43,0,24,0,62,35,-0.50422,0.462215,0.100223,25765.37
27-11-2011,4,30,0,100,0,0,41,0,52,60,-0.41561,0.431946,0.639136,25359.13
04-12-2011,4,40,0,0,0,0,28,0,64,46,-0.90775,0.529753,0.258209,24817.48
11-12-2011,4,17,0,0,0,0,31,0,73,24,-0.41561,0.431946,0.639136,24817.48
18-12-2011,4,15,0,0,0,0,51,0,57,43,-0.55332,-0.36555,0.092215,24817.48
25-12-2011,4,21,0,0,0,0,12,0,49,27,0.415607,-0.43195,-0.63914,24817.48
01-01-2012,1,28,17,0,0,0,38,0,51,41,-0.50422,0.462215,0.100223,19676.1
08-01-2012,1,29,20,0,0,0,64,69,47,67,-0.41561,0.431946,0.639136,19676.1
15-01-2012,1,15,0,0,73,0,0,0,65,49,-0.41561,0.431946,0.639136,19676.1
22-01-2012,1,0,32,0,0,0,22,36,45,56,-0.04382,0.139248,-0.11271,19676.1
29-01-2012,1,0,0,0,28,0,35,0,49,31,-0.41561,0.431946,0.639136,23162.9
05-02-2012,1,45,0,0,0,0,49,0,47,39,-0.90775,0.529753,0.258209,25778
12-02-2012,1,15,0,57,0,0,55,0,48,40,-0.99636,0.560022,-0.2807,25778
19-02-2012,1,31,34,0,26,0,10,33,43,60,0.044792,0.108978,0.426204,25778
26-02-2012,1,19,0,0,0,0,46,0,33,39,-0.41561,0.431946,0.639136,35878.54
04-03-2012,1,0,0,0,29,0,33,0,62,52,-0.55332,-0.36555,0.092215,49345.94
11-03-2012,1,28,32,67,0,0,56,0,46,51,-0.41561,0.431946,0.639136,49345.94
18-03-2012,1,64,22,0,24,0,39,0,55,58,0.092922,0.688516,0.120717,49345.94
25-03-2012,1,29,0,0,27,0,41,0,87,52,-0.41561,0.431946,0.639136,49345.94
01-04-2012,2,61,31,0,26,0,39,44,73,50,0.496446,0.620978,-0.03727,82694.5
08-04-2012,2,72,16,0,24,0,25,0,79,71,0.585061,0.590708,0.501644,82694.5
15-04-2012,2,0,0,0,28,0,54,0,88,49,-0.41561,0.431946,0.639136,82694.5
22-04-2012,2,96,50,0,0,0,68,0,88,57,-0.41561,0.431946,0.639136,82694.5
29-04-2012,2,17,27,0,0,0,73,0,90,72,-0.90775,0.529753,0.258209,89954.42
06-05-2012,2,18,33,0,0,0,33,0,92,68,-0.90775,0.529753,0.258209,92858.39
13-05-2012,2,32,58,0,28,0,100,0,100,74,-0.41561,0.431946,0.639136,92858.39
20-05-2012,2,70,37,0,50,0,57,0,93,93,0.415607,-0.43195,-0.63914,92858.39
27-05-2012,2,100,49,0,32,0,52,56,87,73,0.415607,-0.43195,-0.63914,95778.55
03-06-2012,2,39,45,0,0,0,69,0,81,86,0.415607,-0.43195,-0.63914,103079
10-06-2012,2,28,0,0,0,0,71,0,79,100,0.415607,-0.43195,-0.63914,103079
17-06-2012,2,25,0,0,49,0,78,40,64,99,-0.53596,0.237055,-0.49364,103079
24-06-2012,2,28,45,0,0,0,52,0,56,74,-0.41561,0.431946,0.639136,103079
01-07-2012,3,43,0,92,0,0,65,0,57,66,-0.90775,0.529753,0.258209,48813.48
08-07-2012,3,0,100,0,0,0,85,35,50,71,-0.41561,0.431946,0.639136,48813.48
15-07-2012,3,0,0,0,0,0,53,24,47,77,-0.41561,0.431946,0.639136,48813.48
22-07-2012,3,54,29,0,0,0,27,0,73,58,-0.41561,0.431946,0.639136,48813.48
29-07-2012,3,43,0,0,0,0,78,0,44,47,-0.50422,0.462215,0.100223,60590.13
05-08-2012,3,44,28,0,0,0,35,0,50,53,0.496446,0.620978,-0.03727,69422.61
