Week,Season,Air Travel,Hotel and Acc,Rail Travel,Shopping,Covid 19,Travel Guides & Travelogues,Car Rental & Taxi Services,Tourist Destinations,Image Search,W1,W2,W3,Weekwise Tourists
03-01-2010,1,0,33,16,36,0,59,0,51,57,-0.90775,0.529753,0.258209,38909.16
10-01-2010,1,0,34,39,0,0,29,0,68,63,-0.50422,0.462215,0.100223,38909.16
17-01-2010,1,0,28,0,0,0,16,0,60,64,-0.46471,-0.39582,0.631128,38909.16
24-01-2010,1,0,0,0,0,0,25,0,47,36,-0.90775,0.529753,0.258209,38909.16
31-01-2010,1,47,42,21,0,0,0,0,38,39,-0.41561,0.431946,0.639136,40242.74
07-02-2010,1,26,30,18,0,0,12,0,34,65,1.04546,0.267741,0.288712,40465
14-02-2010,1,0,43,0,0,0,22,0,53,48,0.585061,0.590708,0.501644,40465
21-02-2010,1,31,59,0,0,0,62,0,56,54,-0.41561,0.431946,0.639136,40465
28-02-2010,1,0,31,0,62,0,0,0,37,72,0.044792,0.108978,0.426204,42353.81
07-03-2010,1,53,34,34,0,0,49,0,62,53,-0.41561,0.431946,0.639136,42668.61
14-03-2010,1,0,100,0,73,0,22,0,65,65,-0.90775,0.529753,0.258209,42668.61
21-03-2010,1,50,69,27,77,0,32,0,77,79,-0.46471,-0.39582,0.631128,42668.61
28-03-2010,1,100,82,0,0,0,31,0,90,75,0.004307,0.718785,-0.4182,60742.06
04-04-2010,2,83,90,0,0,0,15,0,75,40,-0.41561,0.431946,0.639136,84840
11-04-2010,2,0,48,0,52,0,41,0,74,72,-0.46471,-0.39582,0.631128,84840
18-04-2010,2,32,82,0,0,0,61,0,82,86,-0.41561,0.431946,0.639136,84840
25-04-2010,2,35,74,44,0,0,0,0,86,67,-0.46471,-0.39582,0.631128,84643.55
02-05-2010,2,28,71,0,0,0,44,0,61,96,-0.41561,0.431946,0.639136,83464.84
09-05-2010,2,44,75,34,0,0,69,20,72,90,-0.41561,0.431946,0.639136,83464.84
16-05-2010,2,0,63,0,0,0,75,0,73,64,0.585061,0.590708,0.501644,83464.84
23-05-2010,2,0,86,27,0,0,100,21,92,71,0.415607,-0.43195,-0.63914,83464.84
30-05-2010,2,69,57,19,0,0,0,0,87,77,0.415607,-0.43195,-0.63914,91955.93
06-06-2010,2,25,70,0,0,0,0,22,100,76,0.415607,-0.43195,-0.63914,95352.37
13-06-2010,2,89,19,17,0,0,24,0,83,73,0.415607,-0.43195,-0.63914,95352.37
20-06-2010,2,26,68,24,35,0,0,45,65,68,0.044792,0.108978,0.426204,95352.37
27-06-2010,2,0,52,0,0,0,24,0,57,100,-0.41561,0.431946,0.639136,73144.26
04-07-2010,3,0,25,22,32,0,0,21,48,65,-0.41561,0.431946,0.639136,43533.45
11-07-2010,3,0,28,22,0,0,15,0,52,55,-0.90775,0.529753,0.258209,43533.45
18-07-2010,3,0,42,20,0,0,0,0,50,61,-0.41561,0.431946,0.639136,43533.45
25-07-2010,3,0,17,0,0,0,42,0,55,23,-0.41561,0.431946,0.639136,43533.45
01-08-2010,3,0,37,0,0,0,30,0,41,58,-0.41561,0.431946,0.639136,30267.32
08-08-2010,3,37,23,0,0,0,15,0,40,66,-0.41561,0.431946,0.639136,30267.32
15-08-2010,3,0,0,0,45,0,21,0,43,56,-0.50422,0.462215,0.100223,30267.32
22-08-2010,3,0,18,0,0,0,0,0,52,43,-0.44735,0.206785,0.045278,30267.32
29-08-2010,3,0,46,0,57,0,22,0,51,39,-0.55332,-0.36555,0.092215,39612.64
05-09-2010,3,0,25,0,35,0,0,46,47,63,0.585061,0.590708,0.501644,46621.63
12-09-2010,3,23,36,0,76,0,20,0,46,71,-0.41561,0.431946,0.639136,46621.63
19-09-2010,3,0,0,0,0,0,0,0,35,51,-0.50422,0.462215,0.100223,46621.63
26-09-2010,3,0,41,46,68,0,19,0,48,64,-0.41561,0.431946,0.639136,42034.13
03-10-2010,4,0,34,0,36,0,13,0,51,70,0.585061,0.590708,0.501644,30565.39
10-10-2010,4,0,48,0,0,0,0,46,45,41,0.447348,-0.20679,-0.04528,30565.39
17-10-2010,4,28,47,0,0,0,54,26,37,34,0.585061,0.590708,0.501644,30565.39
24-10-2010,4,24,28,0,0,0,0,0,45,58,-0.90775,0.529753,0.258209,30565.39
31-10-2010,4,0,23,0,0,0,0,0,54,24,0.585061,0.590708,0.501644,26070.48
07-11-2010,4,0,36,29,0,0,0,0,53,59,-0.50422,0.462215,0.100223,25321.33
14-11-2010,4,27,30,0,41,0,12,0,55,66,-0.46471,-0.39582,0.631128,25321.33
21-11-2010,4,37,22,0,0,0,27,0,51,51,-0.46471,-0.39582,0.631128,25321.33
28-11-2010,4,0,18,42,33,0,0,34,43,70,-0.50422,0.462215,0.100223,33789.42
05-12-2010,4,24,31,100,0,0,32,0,69,51,-0.50422,0.462215,0.100223,40140.48
12-12-2010,4,0,73,0,100,0,24,100,60,50,0.585061,0.590708,0.501644,40140.48
19-12-2010,4,0,57,0,0,0,0,0,81,54,0.535963,-0.23706,0.493636,40140.48
26-12-2010,4,0,27,0,47,0,22,0,93,64,0.415607,-0.43195,-0.63914,40592.9
02-01-2011,1,31,29,100,52,0,61,0,66,91,-0.46471,-0.39582,0.631128,43307.42
09-01-2011,1,56,60,50,0,0,100,62,64,69,-0.41561,0.431946,0.639136,43307.42
16-01-2011,1,94,37,37,41,0,60,53,46,73,-0.41561,0.431946,0.639136,43307.42
23-01-2011,1,0,40,0,0,0,67,0,48,79,-0.46471,-0.39582,0.631128,43307.42
30-01-2011,1,25,30,15,0,0,22,0,55,58,-0.50422,0.462215,0.100223,44776.94
06-02-2011,1,0,32,64,0,0,49,0,58,63,-0.90775,0.529753,0.258209,45364.75
13-02-2011,1,75,49,0,0,0,77,0,68,61,0.996361,-0.56002,0.280704,45364.75
20-02-2011,1,0,43,24,0,0,39,42,65,85,-0.41561,0.431946,0.639136,45364.75
27-02-2011,1,38,23,17,50,0,20,99,48,77,-0.46471,-0.39582,0.631128,47096.03
06-03-2011,1,69,30,34,24,0,0,93,70,54,-0.41561,0.431946,0.639136,47788.55
13-03-2011,1,0,52,0,46,0,22,0,73,58,-0.41561,0.431946,0.639136,47788.55
20-03-2011,1,100,56,56,40,0,37,68,65,81,0.044792,0.108978,0.426204,47788.55
27-03-2011,1,26,34,37,0,0,42,0,66,74,-0.41561,0.431946,0.639136,61349.28
03-04-2011,2,0,62,49,30,0,44,0,77,79,0.044792,0.108978,0.426204,95251.1
10-04-2011,2,69,50,48,100,0,61,0,81,75,-0.99636,0.560022,-0.2807,95251.1
17-04-2011,2,43,53,31,35,0,76,40,78,90,0.004307,0.718785,-0.4182,95251.1
24-04-2011,2,0,82,20,33,0,49,40,72,87,-0.41561,0.431946,0.639136,95251.1
01-05-2011,2,30,59,0,0,0,60,51,85,88,-0.41561,0.431946,0.639136,90818.68
08-05-2011,2,63,37,28,84,0,42,91,96,82,0.044792,0.108978,0.426204,90818.68
